|Unnamed: 0|id|fecha|anio|mes|dia|rol|victima|sexo|edad|fecha_deceso|edad_rango|dia_semana|acusado|hora_rango|x|y|lugar|direc_norm|comuna
143|143|2016-0176|2016-12-28|2016|12|28|CONDUCTOR|MOTO|MASCULINO|28.0|SD|4|Wednesday|PASAJEROS|1|-58.36956186|-34.61232875|AV BELGRANO Y AV PASEO COLON|BELGRANO AV. y PASEO COLON AV.|1
144|144|2016-0177|2016-12-29|2016|12|29|PEATON|PEATON|FEMENINO|27.0|SD|4|Thursday|AUTO|4|-58.40966671|-34.58788235|ARENALES 3319|ARENALES 3319|14
145|145|2016-0178|2016-12-30|2016|12|30|PEATON|PEATON|FEMENINO|7.0|SD|2|Friday|MULTIPLE|16|-58.40288226|-34.61544091|REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA|REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA|3
146|146|2017-0001|2017-01-02|2017|1|2|CONDUCTOR|MOTO|MASCULINO|18.0|2017-01-02 00:00:00|4|Monday|CARGAS|1|-58.4659423|-34.61028571|AV. JUAN B JUSTO Y ACHUPALLAS|JUSTO, JUAN B. AV. y ACHUPALLAS|11
147|147|2017-0003|2017-01-05|2017|1|5|PASAJERO_ACOMPAÑANTE|CARGAS|MASCULINO|33.0|2017-01-05 00:00:00|5|Thursday|CARGAS|3|-58.38957669|-34.64410277|OLAVARRIA Y AV. VELEZ SARSFIELD|OLAVARRIA y VELEZ SARSFIELD AV.|4
148|148|2017-0007|2017-01-11|2017|1|11|PEATON|PEATON|MASCULINO|48.0|2017-01-11 00:00:00|5|Wednesday|MULTIPLE|17|-58.3816166|-34.61529543|LIMA Y MEXICO|LIMA y MEXICO|1
149|149|2017-0008|2017-01-16|2017|1|16|CONDUCTOR|MOTO|MASCULINO|29.0|2017-01-16 00:00:00|4|Monday|PASAJEROS|0|-58.43917004|-34.58494351|JOSE A CABRERA Y BONPLAND|CABRERA, JOSE A. y BONPLAND|14
150|150|2017-0009|2017-01-16|2017|1|16|CONDUCTOR|MOTO|MASCULINO|36.0|2017-01-16 00:00:00|5|Monday|CARGAS|13|-58.41595919|-34.62743346|AU 25 DE MAYO Y AV. BOEDO|AUTOPISTA 25 DE MAYO y BOEDO AV.|5
151|151|2017-0010|2017-01-16|2017|1|16|CONDUCTOR|MOTO|MASCULINO|23.0|2017-01-16 00:00:00|4|Monday|AUTO|16|-58.4356488|-34.62828656|AV. DIRECTORIO Y RIGLOS|DIRECTORIO AV. y RIGLOS|6
152|152|2017-0011|2017-01-22|2017|1|22|PASAJERO_ACOMPAÑANTE|MOTO|FEMENINO|29.0|2017-01-22 00:00:00|4|Sunday|OBJETO FIJO|2|-58.5007381|-34.5497951|AV. GRAL. PAZ Y AV. R. BALBIN|PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.|12
153|153|2017-0012|2017-01-24|2017|1|24|CONDUCTOR|MOTO|MASCULINO|30.0|2017-01-24 00:00:00|5|Tuesday|CARGAS|14|-58.40969005|-34.6505529|TRAFUL Y DIOGENES TABORDA|TRAFUL y TABORDA, DIOGENES|4
154|154|2017-0013|2017-01-27|2017|1|27|PEATON|PEATON|MASCULINO|4.0|2017-01-27 00:00:00|1|Friday|CARGAS|7|-58.38972622|-34.65098981|IRIARTE 3055|IRIARTE, GRAL. AV. 3055|4
155|155|2017-0014|2017-01-28|2017|1|28|PASAJERO_ACOMPAÑANTE|MOTO|FEMENINO|22.0|2017-01-28 00:00:00|4|Saturday|MULTIPLE|8|-58.49185972|-34.55046754|AV. DONADO Y ARIAS|DONADO y ARIAS|12
